,reward,year_month,requesterId,cohort
342,10.0,2014-06,A19YDHIF2B4LMX,2014-06
343,4.1,2014-07,A19YDKQJW72N22,2014-06
344,8.0,2014-06,A19YQC1XK2OYZ0,2014-06
345,3.5,2014-07,A19YQC1XK2OYZ0,2014-06
346,11.0,2014-08,A19YQC1XK2OYZ0,2014-06
347,5.1,2014-09,A19YQC1XK2OYZ0,2014-06
348,0.6,2014-10,A19YQC1XK2OYZ0,2014-06
349,6.0,2015-02,A19YQC1XK2OYZ0,2014-06
350,666.5,2014-06,A1A3572NDA804J,2014-06
351,1501.9,2014-08,A1A3572NDA804J,2014-06
352,849.4,2014-09,A1A3572NDA804J,2014-06
353,32.0,2014-06,A1A9ZDWOSYCWJF,2014-06
354,68.0,2014-10,A1A9ZDWOSYCWJF,2014-06
355,12.0,2015-01,A1A9ZDWOSYCWJF,2014-06
356,64.0,2015-02,A1A9ZDWOSYCWJF,2014-06
357,48.0,2015-03,A1A9ZDWOSYCWJF,2014-06
358,40.0,2015-08,A1A9ZDWOSYCWJF,2014-06
359,113.2,2014-06,A1ABO7ACZLBQPW,2014-06
360,0.32,2014-06,A1ADM0YYC2CQ0W,2014-06
361,1.36,2014-07,A1ADM0YYC2CQ0W,2014-06
362,0.08,2014-08,A1ADM0YYC2CQ0W,2014-06
363,1.38,2015-03,A1ADM0YYC2CQ0W,2014-06
364,1.44,2015-04,A1ADM0YYC2CQ0W,2014-06
365,0.3,2015-07,A1ADM0YYC2CQ0W,2014-06
366,6.0,2014-06,A1AFB5YWKA83ND,2014-06
367,12.0,2014-07,A1AFB5YWKA83ND,2014-06
368,4.0,2015-03,A1AFB5YWKA83ND,2014-06
369,2.0,2014-06,A1ATV19BF5913S,2014-06
370,38.4,2014-06,A1ATW203M1J46L,2014-06
371,90.6,2015-11,A1ATW203M1J46L,2014-06
372,1.88,2014-06,A1AUN1DG5BH6U5,2014-06
373,3.0,2014-07,A1AUN1DG5BH6U5,2014-06
374,1.22,2014-10,A1AUN1DG5BH6U5,2014-06
375,2.42,2014-11,A1AUN1DG5BH6U5,2014-06
376,1.22,2014-12,A1AUN1DG5BH6U5,2014-06
377,3.5,2015-04,A1AUN1DG5BH6U5,2014-06
378,3.0,2015-05,A1AUN1DG5BH6U5,2014-06
379,4.5,2015-07,A1AUN1DG5BH6U5,2014-06
380,10.5,2015-08,A1AUN1DG5BH6U5,2014-06
381,96.0,2015-09,A1AUN1DG5BH6U5,2014-06
382,55.5,2015-10,A1AUN1DG5BH6U5,2014-06
383,54.0,2015-11,A1AUN1DG5BH6U5,2014-06
384,136.5,2015-12,A1AUN1DG5BH6U5,2014-06
385,1.0,2014-06,A1AZB80T7X8NL4,2014-06
386,1.0,2014-08,A1AZB80T7X8NL4,2014-06
387,0.4,2014-09,A1AZB80T7X8NL4,2014-06
388,6.0,2014-06,A1B1BVEVT00ZSE,2014-06
389,0.55,2014-06,A1B1Z9MW5AHKLC,2014-06
390,0.42,2014-06,A1B4WTG5QJW7QQ,2014-06
391,0.42,2014-10,A1B4WTG5QJW7QQ,2014-06
392,0.14,2014-11,A1B4WTG5QJW7QQ,2014-06
393,0.14,2014-12,A1B4WTG5QJW7QQ,2014-06
394,0.14,2015-01,A1B4WTG5QJW7QQ,2014-06
395,0.14,2015-02,A1B4WTG5QJW7QQ,2014-06
396,0.14,2015-05,A1B4WTG5QJW7QQ,2014-06
397,0.14,2015-06,A1B4WTG5QJW7QQ,2014-06
398,0.14,2015-07,A1B4WTG5QJW7QQ,2014-06
399,1.1,2014-06,A1B88LZPOPVEF0,2014-06
400,0.7,2014-11,A1B88LZPOPVEF0,2014-06
401,136.12,2014-06,A1BDFF4NV8WDK7,2014-06
402,49.66,2014-06,A1BKUGH9CJEEZA,2014-06
403,256.14,2014-07,A1BKUGH9CJEEZA,2014-06
404,0.82,2014-06,A1BNPYLVFPRYO8,2014-06
405,4.18,2014-08,A1BNPYLVFPRYO8,2014-06
406,1.68,2014-09,A1BNPYLVFPRYO8,2014-06
407,1.64,2014-11,A1BNPYLVFPRYO8,2014-06
408,4.0,2014-06,A1BOY2INSTW225,2014-06
409,26.4,2014-06,A1BQ8JD73XA5ZD,2014-06
410,18.9,2014-07,A1BQ8JD73XA5ZD,2014-06
411,0.29,2014-06,A1BSYSV833CD7L,2014-06
412,9.5,2014-06,A1BT3F2XKOY9BS,2014-06
413,7.8,2014-06,A1C0VBYUHZIFB1,2014-06
414,5.12,2014-06,A1C5XPY13HKDVU,2014-06
415,9.5,2014-07,A1C5XPY13HKDVU,2014-06
416,19.5,2015-01,A1C5XPY13HKDVU,2014-06
417,6.16,2015-03,A1C5XPY13HKDVU,2014-06
418,20.8,2015-05,A1C5XPY13HKDVU,2014-06
419,35.84,2015-06,A1C5XPY13HKDVU,2014-06
420,0.5,2014-06,A1CA7DWYP7DV81,2014-06
421,0.6,2014-06,A1CATICI7WCETV,2014-06
422,3.8,2014-06,A1CB08G04OQNA,2014-06
423,1.8,2014-09,A1CB08G04OQNA,2014-06
424,1.2,2014-10,A1CB08G04OQNA,2014-06
425,2.4,2014-12,A1CB08G04OQNA,2014-06
426,1.8,2015-01,A1CB08G04OQNA,2014-06
427,1.8,2015-02,A1CB08G04OQNA,2014-06
428,1.8,2015-03,A1CB08G04OQNA,2014-06
429,0.6,2015-04,A1CB08G04OQNA,2014-06
430,6.3,2015-05,A1CB08G04OQNA,2014-06
431,4.8,2015-06,A1CB08G04OQNA,2014-06
432,0.6,2015-07,A1CB08G04OQNA,2014-06
433,0.8,2015-11,A1CB08G04OQNA,2014-06
434,0.8,2015-12,A1CB08G04OQNA,2014-06
435,10.8,2016-02,A1CB08G04OQNA,2014-06
436,0.2,2014-06,A1CC7T5TV16UV0,2014-06
437,1.49,2014-07,A1CC7T5TV16UV0,2014-06
438,0.22,2014-08,A1CC7T5TV16UV0,2014-06
439,0.6,2014-09,A1CC7T5TV16UV0,2014-06
440,0.1,2014-10,A1CC7T5TV16UV0,2014-06
441,0.3,2014-11,A1CC7T5TV16UV0,2014-06
442,0.14,2015-02,A1CC7T5TV16UV0,2014-06
443,6.1,2014-06,A1CESO62U3TKEU,2014-06
444,0.82,2014-06,A1CIF1FA2AL2Z3,2014-06
445,1.0,2014-06,A1CN4X1IKXCY3R,2014-06
446,18.0,2014-07,A1CN4X1IKXCY3R,2014-06
447,30.8,2014-06,A1CPR68JUF24GI,2014-06
448,177.2,2014-06,A1CQVE4J6FYT9Q,2014-06
449,6.0,2014-06,A1CTHF4CG8B2OF,2014-06
450,1.0,2014-07,A1CTHF4CG8B2OF,2014-06
451,2.0,2014-06,A1D3PSMG9W2PV4,2014-06
452,20.0,2014-06,A1D6KPPS57MFX1,2014-06
453,1.0,2014-06,A1D7GUWZPXBR43,2014-06
454,156.0,2014-06,A1D8TU7IYAK095,2014-06
455,135.0,2014-07,A1D8TU7IYAK095,2014-06
456,12.0,2014-06,A1D960BSTKBFRC,2014-06
457,1.9,2014-06,A1DEUNN0954WZK,2014-06
458,2.2,2014-08,A1DEUNN0954WZK,2014-06
